jsoncons	47	https://github.com/danielaparker/jsoncons.git	c++
hermes	46	https://github.com/facebook/hermes.git	c++
json	45	https://github.com/nlohmann/json.git	c++
libavc	45	https://github.com/ittiam-systems/libavc.git	c++
htslib	44	https://github.com/samtools/htslib.git	c++
clickhouse	43	https://github.com/ClickHouse/ClickHouse.git	c++
minify	43	https://github.com/tdewolff/minify.git	go
rnp	43	https://github.com/rnpgp/rnp.git	c++
sleuthkit	43	https://github.com/sleuthkit/sleuthkit.git	c++
grok	42	https://github.com/GrokImageCompression/grok.git	c++
qpdf	42	https://github.com/qpdf/qpdf.git	c++
mapserver	41	https://github.com/MapServer/MapServer.git	c++
oniguruma	41	https://github.com/kkos/oniguruma.git	c
openssl	41	https://github.com/openssl/openssl.git	c++
pygments	40	https://github.com/pygments/pygments.git	python
ots	39	https://github.com/khaledhosny/ots.git	c++
bloaty	38	https://github.com/google/bloaty.git	c++
gstreamer	38	https://gitlab.freedesktop.org/gstreamer/gstreamer.git	c++
libass	38	https://github.com/libass/libass.git	c++
libucl	38	https://github.com/vstakhov/libucl.git	c
sudoers	38	https://github.com/sudo-project/sudo.git	c
tidy-html5	38	https://github.com/htacg/tidy-html5.git	c++
bignum-fuzzer	37	https://github.com/guidovranken/bignum-fuzzer.git	c++
jsoup	36	https://github.com/jhy/jsoup.git	jvm
spidermonkey	36	https://hg.mozilla.org/mozilla-central.git	c++
esp-v2	34	https://github.com/GoogleCloudPlatform/esp-v2.git	c++
libhtp	34	https://github.com/OISF/libhtp.git	rust
net-snmp	34	git://git.code.sf.net/p/net-snmp/code.git	c++
cilium	33	https://github.com/cilium/cilium.git	go
fmt	33	https://github.com/fmtlib/fmt.git	c++
aspell	32	https://github.com/gnuaspell/aspell.git	c++
file	32	https://github.com/file/file.git	c++
gpac	32	https://github.com/gpac/gpac.git	c
hunspell	32	https://github.com/hunspell/hunspell.git	c++
osquery	32	https://github.com/osquery/osquery.git	c++
pcre2	32	https://github.com/PCRE2Project/pcre2.git	c++
libprotobuf-mutator	31	https://github.com/google/libprotobuf-mutator.git	c++
fwupd	30	https://github.com/fwupd/fwupd.git	c
gitea	30	https://github.com/go-gitea/gitea.git	go
libpcap	30	https://github.com/the-tcpdump-group/libpcap.git	c++
botan	29	https://github.com/randombit/botan.git	c++
flatbuffers	29	https://github.com/google/flatbuffers.git	c++
naga	29	https://github.com/gfx-rs/naga.git	rust
nss	29	https://hg.mozilla.org/projects/nss.git	c++
relic	29	https://github.com/relic-toolkit/relic.git	c++
dnsmasq	28	git://thekelleys.org.uk/dnsmasq.git	c
e2fsprogs	28	https://github.com/tytso/e2fsprogs.git	c
fastjson2	28	https://github.com/alibaba/fastjson2.git	jvm
helm	28	https://github.com/helm/helm.git	go
igraph	28	https://github.com/igraph/igraph.git	c
irssi	28	https://github.com/irssi/irssi.git	c++
libcbor	28	https://github.com/PJK/libcbor.git	c++
boringssl	27	https://boringssl.googlesource.com/boringssl.git	c++
exiv2	27	https://github.com/Exiv2/exiv2.git	c++
faad2	27	https://github.com/knik0/faad2.git	c
gdk-pixbuf	27	https://gitlab.gnome.org/GNOME/gdk-pixbuf.git	c
lxc	27	https://github.com/lxc/lxc.git	c
mp4parse-rust	27	https://github.com/mozilla/mp4parse-rust.git	rust
readstat	27	https://github.com/WizardMac/ReadStat.git	c++
skcms	27	https://skia.googlesource.com/skcms.git	c++
tpm2	27	https://chromium.googlesource.com/chromiumos/third_party/tpm2.git	c++
bls-signatures	26	https://github.com/supranational/blst.git	c++
grpc-swift	26	https://github.com/grpc/grpc-swift.git	swift
tor	26	https://git.torproject.org/tor.git	c++
elfutils	25	git://sourceware.org/git/elfutils.git	c++
mtail	25	https://github.com/google/mtail.git	go
stb	25	https://github.com/nothings/stb.git	c++
tesseract-ocr	25	https://github.com/tesseract-ocr/tesseract.git	c++
argo	24	https://github.com/argoproj.git	go
firestore	24	https://github.com/firebase/firebase-ios-sdk.git	c++
karchive	24	https://invent.kde.org/frameworks/karchive.git	c++
libgit2	24	https://github.com/libgit2/libgit2.git	c++
libical	24	https://github.com/libical/libical.git	c++
libssh	24	https://git.libssh.org/projects/libssh.git	c
libzmq	24	https://github.com/zeromq/libzmq.git	c++
mdbtools	24	https://github.com/mdbtools/mdbtools.git	c
exprtk	23	https://github.com/ArashPartow/exprtk.git	c++
qpid-proton	23	https://github.com/apache/qpid-proton.git	c++
expat	22	https://github.com/libexpat/libexpat.git	c++
geos	22	https://git.osgeo.org/gitea/geos/geos.git	c++
gvisor	22	https://github.com/google/gvisor.git	go
libsndfile	22	https://github.com/libsndfile/libsndfile.git	c
libwebp	22	https://chromium.googlesource.com/webm/libwebp.git	c++
capstone	21	https://github.com/capstone-engine/capstone.git	c++
freeimage	21	https://svn.code.sf.net/p/freeimage/svn.git	c++
nettle	21	https://git.lysator.liu.se/nettle/nettle.git	c++
bind9	20	https://gitlab.isc.org/isc-projects/bind9.git	c
cosmos-sdk	20	https://github.com/cosmos/cosmos-sdk.git	go
cppcheck	20	https://github.com/danmar/cppcheck.git	c++
cpython3	20	https://github.com/python/cpython.git	c++
frr	20	https://github.com/FRRouting/frr.git	c++
gnupg	20	git://git.gnupg.org/gnupg.git	c++
libspectre	20	https://gitlab.freedesktop.org/libspectre/libspectre.git	c++
neomutt	20	https://github.com/neomutt/neomutt.git	c++
augeas	19	https://github.com/hercules-team/augeas.git	c++
dovecot	19	https://github.com/dovecot/core.git	c
go-ethereum	19	https://github.com/ethereum/go-ethereum.git	go
jsign	19	https://github.com/ebourg/jsign.git	jvm
libavif	19	https://github.com/AOMediaCodec/libavif.git	c++
nom	19	https://github.com/Geal/nom.git	rust
opensk	19	https://github.com/google/OpenSK.git	rust
bs4	18		python
h2o	18	https://github.com/h2o/h2o.git	c++
jackson-dataformats-text	18	https://github.com/FasterXML/jackson-dataformats-text.git	jvm
libhevc	18	https://github.com/ittiam-systems/libhevc.git	c++
libxls	18	https://github.com/libxls/libxls.git	c++
apache-httpd	17	https://github.com/apache/httpd.git	c
cyclonedds	17	https://github.com/eclipse-cyclonedds/cyclonedds.git	c
dropbear	17	https://github.com/mkj/dropbear.git	c++
ecc-diff-fuzzer	17	https://github.com/catenacyber/elliptic-curve-differential-fuzzer.git	c++
libplist	17	https://github.com/libimobiledevice/libplist.git	c++
mbedtls	17	https://github.com/Mbed-TLS/mbedtls.git	c++
qcms	17		rust
swift-protobuf	17	https://github.com/apple/swift-protobuf.git	swift
tinygltf	17	https://github.com/syoyo/tinygltf.git	c++
containerd	16	https://github.com/containerd/containerd.git	go
fio	16	https://github.com/axboe/fio.git	c++
jbig2dec	16	git://git.ghostscript.com/jbig2dec.git	c++
libexif	16	https://github.com/libexif/libexif.git	c++
sigstore	16	https://github.com/sigstore/sigstore.git	go
surrealdb	16	https://github.com/surrealdb/surrealdb.git	rust
alembic	15	https://github.com/alembic/alembic.git	c++
etcd	15	https://github.com/etcd-io/etcd.git	go
flask	15	https://github.com/pallets/flask.git	python
golang-protobuf	15	https://github.com/protocolbuffers/protobuf-go.git	go
hcl	15	https://github.com/hashicorp/hcl.git	go
libjpeg-turbo	15	https://github.com/libjpeg-turbo/libjpeg-turbo.git	c
linkerd2	15	https://github.com/linkerd/linkerd2.git	go
msquic	15	https://github.com/microsoft/msquic.git	c
re2	15	https://code.googlesource.com/re2.git	c++
snakeyaml	15	https://bitbucket.org/snakeyaml/snakeyaml.git	jvm
tensorflow	15	https://github.com/tensorflow/tensorflow.git	c++
git	14	https://github.com/git/git.git	c++
h3	14	https://github.com/uber/h3.git	c
hyperium	14	https://github.com/hyperium.git	rust
jackson-core	14	https://github.com/FasterXML/jackson-core.git	jvm
jackson-dataformats-binary	14	https://github.com/FasterXML/jackson-dataformats-binary.git	jvm
libbpf	14	https://github.com/libbpf/libbpf.git	c
libspng	14	https://github.com/randy408/libspng.git	c++
linkerd2-proxy	14	https://github.com/linkerd/linkerd2-proxy.git	rust
num-bigint	14	https://github.com/rust-num/num-bigint.git	c++
python3-libraries	14	https://github.com/python/cpython.git	c
teleport	14	https://github.com/gravitational/teleport.git	go
tomcat	14	https://github.com/apache/tomcat.git	jvm
bluez	13	https://github.com/bluez/bluez.git	c
cpp-httplib	13	https://github.com/yhirose/cpp-httplib.git	c++
cryptsetup	13	https://gitlab.com/cryptsetup/cryptsetup.git	c
dapr	13	https://github.com/dapr.git	go
inchi	13	https://github.com/metamolecular/inchi.git	c
kubernetes-cluster-api	13	https://github.com/kubernetes-sigs/cluster-api.git	go
logback	13	https://github.com/qos-ch/logback.git	jvm
lxml	13	https://github.com/lxml/lxml.git	python
openssh	13	https://github.com/openssh/openssh-portable.git	c++
serde-yaml	13	https://github.com/dtolnay/serde-yaml.git	rust
spice-usbredir	13	https://gitlab.freedesktop.org/spice/usbredir.git	c++
syzkaller	13	https://github.com/google/syzkaller.git	go
tcmalloc	13	https://github.com/google/tcmalloc.git	c++
