FFmpeg-20230506-722ff74055	722ff74055	8f0e200a12	Sat May 6 00:32:29 2023 +0200	avcodec/adpcm: Fix integer overflow in intermediate in ADPCM_XMD	45982	6690181676924928	libavcodec/adpcm.c	1579
FFmpeg-20230506-8f0e200a12	8f0e200a12	6e98cf0280	Sat May 6 00:22:27 2023 +0200	avcodec/dpcm: fix undefined interger overflow in wady	45982	6703727013920768	libavcodec/dpcm.c	444
FFmpeg-20230506-2632e90493	2632e90493	34056a94ea	Sat May 6 00:22:26 2023 +0200	avcodec/sonic: Fix two undefined integer overflows	45982	5477177805373440	libavcodec/sonic.c	473;1013
FFmpeg-20230506-fd7352660b	fd7352660b	885ff3b879	Sat May 6 00:22:25 2023 +0200	avcodec/flacdec: Fix signed integre overflow	45982	6687553022722048	libavcodec/flacdec.c	513
FFmpeg-20230414-0ecda4fbce	0ecda4fbce	80ac1fd148	Fri Apr 14 17:56:44 2023 +0200	avcodec/rka: Fix signed integer overflow in decode_filter()	57814	4614661233573888	libavcodec/rka.c	737
FFmpeg-20230414-27e7857bd1	27e7857bd1	7c6e26a184	Fri Apr 14 17:56:36 2023 +0200	avcodec/huffyuvdec: Fix undefined behavior with shift	57554	4853603839115264	libavcodec/huffyuvdec.c	695
FFmpeg-20230402-1942dbb8ca	1942dbb8ca	5f92a19231	Sun Apr 2 23:54:47 2023 +0200	avcodec/wavarc: Fix several integer overflows	57045	637023665297817	libavcodec/wavarc.c	349;452;461
FFmpeg-20230312-87ad0a5dd7	87ad0a5dd7	8e5e578453	Sun Mar 12 22:33:12 2023 +0100	avcodec/escape124: fix signdness of end of input check	56561	5560363635834880	libavcodec/escape124.c	89
FFmpeg-20230223-49487045dd	49487045dd	4eef658ca5	Thu Feb 23 23:25:26 2023 +0100	avcodec/bink: Fix off by 1 error in ref end	48567	6657932926517248	libavcodec/bink.c	870
FFmpeg-20230222-d495747a9f	d495747a9f	b3df7ca748	Wed Feb 22 18:01:51 2023 +0100	avcodec/rka: Fix some integer anomalies	integeroverflow:-76470276*-25608cannotberepresentedintype'int'
